run,arm,panel,n_logged,n_batches,best_is_sr,chosen_best_sr,n_star,n_star_chosen,null_p95,mean_complexity
CS-SYNA05-03-s9500,CANON-SAMPLER,SYNA05-03,114,12,1.0723,1.0723,36.37973864674153,36.37973864674153,0.898855,2.8859649122807016
CS-SYNA05-03-s9501,CANON-SAMPLER,SYNA05-03,106,12,1.0723,1.0723,36.37973864674153,36.37973864674153,0.898855,2.839622641509434
CS-SYNA10-00-s9500,CANON-SAMPLER,SYNA10-00,114,12,1.521,1.521,40.15187645219323,40.15187645219323,1.24643,2.8859649122807016
CS-SYNA10-00-s9501,CANON-SAMPLER,SYNA10-00,106,12,1.521,1.521,40.15187645219323,40.15187645219323,1.24643,2.839622641509434
CS-SYNA10-01-s9500,CANON-SAMPLER,SYNA10-01,114,12,1.3711,1.3711,274.6648565880344,274.6648565880344,0.8005,2.8859649122807016
CS-SYNA10-01-s9501,CANON-SAMPLER,SYNA10-01,106,12,1.3711,1.3711,274.6648565880344,274.6648565880344,0.8005,2.839622641509434
CS-SYNA10-02-s9500,CANON-SAMPLER,SYNA10-02,114,12,2.1354,2.1354,432.15168289966687,432.15168289966687,1.2053499999999995,2.8859649122807016
CS-SYNA10-02-s9501,CANON-SAMPLER,SYNA10-02,106,12,2.0977,2.0977,363.05012725225987,363.05012725225987,1.2053499999999995,2.839622641509434
CS-SYNA10-03-s9500,CANON-SAMPLER,SYNA10-03,114,12,1.0329,1.0329,22.14321110414245,22.14321110414245,0.8508,2.8859649122807016
CS-SYNA10-03-s9501,CANON-SAMPLER,SYNA10-03,106,12,1.1729,1.1729,38.47812773067197,38.47812773067197,0.8508,2.839622641509434
OPTH-SYN0-00-s9000,OPT-hard,SYN0-00,137,12,1.4066,1.4066,447.4969640795867,447.4969640795867,0.6702449999999993,6.306569343065694
OPTH-SYN0-00-s9001,OPT-hard,SYN0-00,217,12,1.7353,1.7353,10000000.0,10000000.0,0.6702449999999993,9.442396313364055
OPTH-SYN0-00-s9002,OPT-hard,SYN0-00,220,12,1.9467,1.9467,10000000.0,10000000.0,0.6702449999999993,10.0
OPTH-SYN0-01-s9000,OPT-hard,SYN0-01,87,12,0.8347,0.8347,19.698688752237267,19.698688752237267,0.7593349999999999,3.057471264367816
OPTH-SYN0-01-s9001,OPT-hard,SYN0-01,205,12,1.7314,1.7314,10000000.0,10000000.0,0.7593349999999999,6.4975609756097565
OPTH-SYN0-01-s9002,OPT-hard,SYN0-01,139,12,0.9309,0.9309,34.21696483836902,34.21696483836902,0.7593349999999999,4.028776978417266
OPTH-SYN0-02-s9000,OPT-hard,SYN0-02,183,12,1.3606,1.3606,5802.450654927087,5802.450654927087,0.7145449999999998,4.229508196721311
OPTH-SYN0-02-s9001,OPT-hard,SYN0-02,161,12,1.2567,1.2567,811.989318334817,811.989318334817,0.7145449999999998,3.9937888198757765
OPTH-SYN0-02-s9002,OPT-hard,SYN0-02,76,12,1.1789,1.1789,410.97936442299124,410.97936442299124,0.7145449999999998,3.1184210526315788
OPTH-SYN0-03-s9000,OPT-hard,SYN0-03,213,12,1.6899,1.6899,10000000.0,10000000.0,0.7193050000000001,9.88262910798122
OPTH-SYN0-03-s9001,OPT-hard,SYN0-03,182,12,1.4752,1.4752,10000000.0,10000000.0,0.7193050000000001,5.225274725274725
OPTH-SYN0-03-s9002,OPT-hard,SYN0-03,201,12,1.2475,1.2475,305.4311095390696,305.4311095390696,0.7193050000000001,5.2288557213930345
OPTH-SYN0-04-s9000,OPT-hard,SYN0-04,134,12,1.0541,1.0541,349.91134513649877,349.91134513649877,0.756,3.253731343283582
OPTH-SYN0-04-s9001,OPT-hard,SYN0-04,182,12,1.414,1.414,10000000.0,10000000.0,0.756,5.087912087912088
OPTH-SYN0-04-s9002,OPT-hard,SYN0-04,151,12,1.2486,1.2486,10000000.0,10000000.0,0.756,4.311258278145695
OPTH-SYN0-05-s9000,OPT-hard,SYN0-05,103,12,1.2091,1.2091,111.44701892228392,111.44701892228392,0.682345,3.0679611650485437
OPTH-SYN0-05-s9001,OPT-hard,SYN0-05,184,12,1.5502,1.5502,10000000.0,10000000.0,0.682345,4.510869565217392
OPTH-SYN0-05-s9002,OPT-hard,SYN0-05,178,12,1.5703,1.5703,10000000.0,10000000.0,0.682345,4.51685393258427
OPTH-SYN0-06-s9000,OPT-hard,SYN0-06,66,12,1.1614,1.1614,107.77073199535305,107.77073199535305,0.7259399999999999,2.3333333333333335
OPTH-SYN0-06-s9001,OPT-hard,SYN0-06,113,12,1.1913,1.1913,151.91356354089663,151.91356354089663,0.7259399999999999,4.230088495575221
OPTH-SYN0-06-s9002,OPT-hard,SYN0-06,82,12,1.1614,1.1614,107.77073199535305,107.77073199535305,0.7259399999999999,3.451219512195122
OPTH-SYN0-07-s9000,OPT-hard,SYN0-07,147,12,1.2764,1.2764,166.72401814105322,166.72401814105322,0.7702,4.63265306122449
OPTH-SYN0-07-s9001,OPT-hard,SYN0-07,91,12,1.2396,1.2396,128.31386885034897,128.31386885034897,0.7702,2.78021978021978
OPTH-SYN0-07-s9002,OPT-hard,SYN0-07,121,12,1.2915,1.2915,186.92977618009863,186.92977618009863,0.7702,2.950413223140496
OPTH-SYN0-08-s9000,OPT-hard,SYN0-08,135,12,0.9682,0.9682,63.11673627871712,63.11673627871712,0.7060599999999995,3.3851851851851853
OPTH-SYN0-08-s9001,OPT-hard,SYN0-08,187,12,1.5276,1.5276,10000000.0,10000000.0,0.7060599999999995,5.748663101604278
OPTH-SYN0-08-s9002,OPT-hard,SYN0-08,131,12,1.0587,1.0587,130.10666085626173,130.10666085626173,0.7060599999999995,4.129770992366412
OPTH-SYN0-09-s9000,OPT-hard,SYN0-09,148,12,1.7732,1.7732,938.2270825516387,938.2270825516387,0.7956699999999999,4.391891891891892
OPTH-SYN0-09-s9001,OPT-hard,SYN0-09,128,12,1.8221,1.8221,1176.636901174744,1176.636901174744,0.7956699999999999,3.734375
OPTH-SYN0-09-s9002,OPT-hard,SYN0-09,226,12,1.6333,1.6333,491.45551295925236,491.45551295925236,0.7956699999999999,9.676991150442477
OPTH-SYN0-10-s9000,OPT-hard,SYN0-10,115,12,0.9773,0.9773,150.57791210932996,150.57791210932996,0.625095,2.9478260869565216
OPTH-SYN0-10-s9001,OPT-hard,SYN0-10,198,12,1.6219,1.6219,10000000.0,10000000.0,0.625095,5.858585858585859
OPTH-SYN0-10-s9002,OPT-hard,SYN0-10,214,12,1.3654,1.3654,10000000.0,10000000.0,0.625095,7.41588785046729
OPTH-SYN0-11-s9000,OPT-hard,SYN0-11,125,12,1.1249,1.1249,131.27310244873976,131.27310244873976,0.6804,3.264
OPTH-SYN0-11-s9001,OPT-hard,SYN0-11,181,12,2.0277,2.0277,10000000.0,10000000.0,0.6804,5.292817679558011
OPTH-SYN0-11-s9002,OPT-hard,SYN0-11,131,12,1.229,1.229,231.50138877281574,231.50138877281574,0.6804,3.8091603053435112
OPTM-SYN0-00-s9000,OPT-medium,SYN0-00,193,12,1.6475,1.6475,10000000.0,10000000.0,0.6702449999999993,4.4404145077720205
OPTM-SYN0-00-s9001,OPT-medium,SYN0-00,245,12,1.7353,1.7353,10000000.0,10000000.0,0.6702449999999993,5.559183673469388
OPTM-SYN0-00-s9002,OPT-medium,SYN0-00,236,12,1.545,1.545,1193.9404080292427,1193.9404080292427,0.6702449999999993,6.504237288135593
OPTM-SYN0-01-s9000,OPT-medium,SYN0-01,146,12,1.0685,1.0685,83.10683646274566,83.10683646274566,0.7593349999999999,3.3493150684931505
OPTM-SYN0-01-s9001,OPT-medium,SYN0-01,201,12,1.2089,1.2089,212.548241620954,212.548241620954,0.7593349999999999,4.731343283582089
OPTM-SYN0-01-s9002,OPT-medium,SYN0-01,225,12,1.3523,1.3523,640.7027768505454,640.7027768505454,0.7593349999999999,5.373333333333333
OPTM-SYN0-02-s9000,OPT-medium,SYN0-02,163,12,1.2799,1.2799,1043.0300720936964,1043.0300720936964,0.7145449999999998,3.184049079754601
OPTM-SYN0-02-s9001,OPT-medium,SYN0-02,202,12,1.0362,1.0362,138.12808389980646,138.12808389980646,0.7145449999999998,5.153465346534653
OPTM-SYN0-02-s9002,OPT-medium,SYN0-02,152,12,1.0854,1.0854,200.68229774911663,200.68229774911663,0.7145449999999998,3.1907894736842106
OPTM-SYN0-03-s9000,OPT-medium,SYN0-03,223,12,1.3647,1.3647,10000000.0,10000000.0,0.7193050000000001,4.896860986547085
OPTM-SYN0-03-s9001,OPT-medium,SYN0-03,230,12,1.2501,1.2501,313.3135729825987,313.3135729825987,0.7193050000000001,5.473913043478261
OPTM-SYN0-03-s9002,OPT-medium,SYN0-03,244,12,1.2379,1.2379,278.6539478616289,278.6539478616289,0.7193050000000001,5.180327868852459
OPTM-SYN0-04-s9000,OPT-medium,SYN0-04,144,12,1.2477,1.2477,10000000.0,10000000.0,0.756,2.6180555555555554
OPTM-SYN0-04-s9001,OPT-medium,SYN0-04,209,12,1.6177,1.6177,10000000.0,10000000.0,0.756,4.248803827751196
OPTM-SYN0-04-s9002,OPT-medium,SYN0-04,179,12,1.1707,1.1707,10000000.0,10000000.0,0.756,3.525139664804469
OPTM-SYN0-05-s9000,OPT-medium,SYN0-05,172,12,1.5502,1.5502,10000000.0,10000000.0,0.682345,3.453488372093023
OPTM-SYN0-05-s9001,OPT-medium,SYN0-05,238,12,1.3572,1.3572,312.824215833904,312.824215833904,0.682345,5.483193277310924
OPTM-SYN0-05-s9002,OPT-medium,SYN0-05,228,12,1.0988,1.0988,62.635824004491774,62.635824004491774,0.682345,4.719298245614035
OPTM-SYN0-06-s9000,OPT-medium,SYN0-06,110,12,1.1614,1.1614,107.77073199535305,107.77073199535305,0.7259399999999999,2.7818181818181817
OPTM-SYN0-06-s9001,OPT-medium,SYN0-06,179,12,1.1614,1.1614,107.77073199535305,107.77073199535305,0.7259399999999999,4.776536312849162
OPTM-SYN0-06-s9002,OPT-medium,SYN0-06,186,12,1.9433,1.9433,10000000.0,10000000.0,0.7259399999999999,4.21505376344086
OPTM-SYN0-07-s9000,OPT-medium,SYN0-07,222,12,1.3941,1.3941,422.55733104014627,422.55733104014627,0.7702,5.31981981981982
OPTM-SYN0-07-s9001,OPT-medium,SYN0-07,133,12,1.2396,1.2396,128.31386885034897,128.31386885034897,0.7702,2.857142857142857
