run,arm,panel,setting,ckpt,rule,sr_is,sr_oos,decay,n_logged,legs,cplx,turnover
CS-SYN0-11-s9501,CANON-SAMPLER,SYN0-11,SYN0,A,chosen,0.8177153939185823,-0.8358912781140403,1.6536066720326226,106,1.0,3.0,
CS-SYNA05-00-s9500,CANON-SAMPLER,SYNA05-00,SYNA05,A,argmax,1.2153157251570803,-0.6274265484534328,1.8427422736105132,114,1.0,3.3333333333333335,0.1384446
CS-SYNA05-00-s9500,CANON-SAMPLER,SYNA05-00,SYNA05,A,chosen,1.2153157251570803,-0.6274265484534328,1.8427422736105132,114,1.0,3.3333333333333335,
CS-SYNA05-00-s9501,CANON-SAMPLER,SYNA05-00,SYNA05,A,argmax,0.8512494950901316,-0.5292463964412484,1.38049589153138,106,1.0,3.3333333333333335,0.13575891666666667
CS-SYNA05-00-s9501,CANON-SAMPLER,SYNA05-00,SYNA05,A,chosen,0.8512494950901316,-0.5292463964412484,1.38049589153138,106,1.0,3.3333333333333335,
CS-SYNA05-01-s9500,CANON-SAMPLER,SYNA05-01,SYNA05,A,argmax,1.0665223680070268,-0.30714937657013264,1.3736717445771593,114,1.0,2.6666666666666665,0.41317984999999996
CS-SYNA05-01-s9500,CANON-SAMPLER,SYNA05-01,SYNA05,A,chosen,1.0665223680070268,-0.30714937657013264,1.3736717445771593,114,1.0,2.6666666666666665,
CS-SYNA05-01-s9501,CANON-SAMPLER,SYNA05-01,SYNA05,A,argmax,1.129609751469961,-0.3202278779327996,1.4498376294027606,106,1.0,2.6666666666666665,0.35623458333333335
CS-SYNA05-01-s9501,CANON-SAMPLER,SYNA05-01,SYNA05,A,chosen,1.129609751469961,-0.3202278779327996,1.4498376294027606,106,1.0,2.6666666666666665,
CS-SYNA05-02-s9500,CANON-SAMPLER,SYNA05-02,SYNA05,A,argmax,1.292687661781604,-2.994880061690271,4.287567723471875,114,1.0,3.0,0.17287539999999998
CS-SYNA05-02-s9500,CANON-SAMPLER,SYNA05-02,SYNA05,A,chosen,1.292687661781604,-2.994880061690271,4.287567723471875,114,1.0,3.0,
CS-SYNA05-02-s9501,CANON-SAMPLER,SYNA05-02,SYNA05,A,argmax,1.4172650606018717,0.14669246359432292,1.2705725970075488,106,1.0,3.0,0.11655935
CS-SYNA05-02-s9501,CANON-SAMPLER,SYNA05-02,SYNA05,A,chosen,1.4172650606018717,0.14669246359432292,1.2705725970075488,106,1.0,3.0,
CS-SYNA05-03-s9500,CANON-SAMPLER,SYNA05-03,SYNA05,A,argmax,1.29710767873596,0.5685462586544496,0.7285614200815103,114,1.0,3.0,0.07760813333333334
CS-SYNA05-03-s9500,CANON-SAMPLER,SYNA05-03,SYNA05,A,chosen,1.29710767873596,0.5685462586544496,0.7285614200815103,114,1.0,3.0,
CS-SYNA05-03-s9501,CANON-SAMPLER,SYNA05-03,SYNA05,A,argmax,1.29710767873596,0.5685462586544496,0.7285614200815103,106,1.0,3.0,0.07760813333333334
CS-SYNA05-03-s9501,CANON-SAMPLER,SYNA05-03,SYNA05,A,chosen,1.29710767873596,0.5685462586544496,0.7285614200815103,106,1.0,3.0,
CS-SYNA10-00-s9500,CANON-SAMPLER,SYNA10-00,SYNA10,A,argmax,2.1795539973690894,-1.251301749686528,3.4308557470556176,114,1.0,2.0,0.25153078333333334
CS-SYNA10-00-s9500,CANON-SAMPLER,SYNA10-00,SYNA10,A,chosen,2.1795539973690894,-1.251301749686528,3.4308557470556176,114,1.0,2.0,
CS-SYNA10-00-s9501,CANON-SAMPLER,SYNA10-00,SYNA10,A,argmax,2.1795539973690894,-1.251301749686528,3.4308557470556176,106,1.0,2.0,0.25153078333333334
CS-SYNA10-00-s9501,CANON-SAMPLER,SYNA10-00,SYNA10,A,chosen,2.1795539973690894,-1.251301749686528,3.4308557470556176,106,1.0,2.0,
CS-SYNA10-01-s9500,CANON-SAMPLER,SYNA10-01,SYNA10,A,argmax,1.401732801005094,-0.2181136197519487,1.6198464207570427,114,1.0,2.6666666666666665,0.6129692666666667
CS-SYNA10-01-s9500,CANON-SAMPLER,SYNA10-01,SYNA10,A,chosen,1.401732801005094,-0.2181136197519487,1.6198464207570427,114,1.0,2.6666666666666665,
CS-SYNA10-01-s9501,CANON-SAMPLER,SYNA10-01,SYNA10,A,argmax,1.4153313340917517,0.062014583386816036,1.3533167507049357,106,1.0,2.6666666666666665,0.5556813833333334
CS-SYNA10-01-s9501,CANON-SAMPLER,SYNA10-01,SYNA10,A,chosen,1.4153313340917517,0.062014583386816036,1.3533167507049357,106,1.0,2.6666666666666665,
CS-SYNA10-02-s9500,CANON-SAMPLER,SYNA10-02,SYNA10,A,argmax,2.418474164352474,-0.7280928612328056,3.14656702558528,114,1.0,4.0,0.17281749999999999
CS-SYNA10-02-s9500,CANON-SAMPLER,SYNA10-02,SYNA10,A,chosen,2.418474164352474,-0.7280928612328056,3.14656702558528,114,1.0,4.0,
CS-SYNA10-02-s9501,CANON-SAMPLER,SYNA10-02,SYNA10,A,argmax,2.3691517365030426,-1.272226907765023,3.6413786442680656,106,1.0,3.6666666666666665,0.3147513666666667
CS-SYNA10-02-s9501,CANON-SAMPLER,SYNA10-02,SYNA10,A,chosen,2.3691517365030426,-1.272226907765023,3.6413786442680656,106,1.0,3.6666666666666665,
CS-SYNA10-03-s9500,CANON-SAMPLER,SYNA10-03,SYNA10,A,argmax,1.5713365920879878,0.46480074527936877,1.106535846808619,114,1.0,3.3333333333333335,0.18968366666666667
CS-SYNA10-03-s9500,CANON-SAMPLER,SYNA10-03,SYNA10,A,chosen,1.5713365920879878,0.46480074527936877,1.106535846808619,114,1.0,3.3333333333333335,
CS-SYNA10-03-s9501,CANON-SAMPLER,SYNA10-03,SYNA10,A,argmax,1.3977133176916956,0.645257408959399,0.7524559087322966,106,1.0,3.0,0.32371935
CS-SYNA10-03-s9501,CANON-SAMPLER,SYNA10-03,SYNA10,A,chosen,1.3977133176916956,0.645257408959399,0.7524559087322966,106,1.0,3.0,
OPTH-REAL-s9000,OPT-hard,REAL,REAL,A,argmax,1.266087701555408,1.4586555447785985,-0.19256784322319054,98,1.0,2.6666666666666665,0.4872434609962874
OPTH-REAL-s9000,OPT-hard,REAL,REAL,A,chosen,1.266087701555408,1.4586555447785985,-0.19256784322319054,98,1.0,2.6666666666666665,
OPTH-REAL-s9001,OPT-hard,REAL,REAL,A,argmax,1.1659318798466054,1.321354145379626,-0.15542226553302063,88,1.0,1.0,0.5304660751640244
OPTH-REAL-s9001,OPT-hard,REAL,REAL,A,chosen,1.1659318798466054,1.321354145379626,-0.15542226553302063,88,1.0,1.0,
OPTH-REAL-s9002,OPT-hard,REAL,REAL,A,argmax,1.3977219921597541,0.7329224440030618,0.6647995481566923,66,1.0,2.3333333333333335,0.458164292592851
OPTH-REAL-s9002,OPT-hard,REAL,REAL,A,chosen,1.3977219921597541,0.7329224440030618,0.6647995481566923,66,1.0,2.3333333333333335,
OPTH-REAL-s9003,OPT-hard,REAL,REAL,A,argmax,1.7425251646139592,-0.10152457240811574,1.844049737022075,162,1.0,12.333333333333334,0.7410718686186972
OPTH-REAL-s9003,OPT-hard,REAL,REAL,A,chosen,1.7425251646139592,-0.10152457240811574,1.844049737022075,162,1.0,12.333333333333334,
OPTH-REAL-s9004,OPT-hard,REAL,REAL,A,argmax,1.4585774728316634,1.267196553855438,0.19138091897622544,97,1.0,2.6666666666666665,0.2502798042095527
OPTH-REAL-s9004,OPT-hard,REAL,REAL,A,chosen,1.4585774728316634,1.267196553855438,0.19138091897622544,97,1.0,2.6666666666666665,
OPTH-SYN0-00-s9000,OPT-hard,SYN0-00,SYN0,A,argmax,1.8223548686714879,0.9552675128256695,0.8670873558458184,137,1.0,12.0,0.47259355000000003
OPTH-SYN0-00-s9000,OPT-hard,SYN0-00,SYN0,A,chosen,1.8223548686714879,0.9552675128256695,0.8670873558458184,137,1.0,12.0,
OPTH-SYN0-00-s9001,OPT-hard,SYN0-00,SYN0,A,argmax,1.9362623328298223,-0.1283938908814208,2.064656223711243,217,1.6666666666666667,11.0,0.4805968666666667
OPTH-SYN0-00-s9001,OPT-hard,SYN0-00,SYN0,A,chosen,1.9362623328298223,-0.1283938908814208,2.064656223711243,217,1.6666666666666667,11.0,
