N,k,sr_train,sr_oos,sr_train_sd,panel
400,2,1.8734135348418568,-0.6525932851849228,0.09584759986520643,SYN0-02
400,3,2.2187300626955353,-0.5866087154384545,0.16653265630693456,SYN0-02
400,5,2.573038159807686,-0.34243378098397526,0.2184323087199152,SYN0-02
400,8,2.9237443375912044,-0.7004344388737082,0.26421208743187446,SYN0-02
400,12,2.8221333201337564,-0.6730834917467743,0.3658737521432668,SYN0-02
400,20,2.5401465174339455,-0.935501976079356,0.2327449742930847,SYN0-02
25,1,0.9938708189513384,-0.01966523439086977,0.35381077179621684,SYN0-03
25,2,0.964165064170486,-0.10485070437169845,0.3168030392674822,SYN0-03
25,3,0.9861954115530791,-0.18899240178801954,0.3137903866339615,SYN0-03
25,5,0.9658410816944263,-0.1224554603583628,0.3007454325241874,SYN0-03
25,8,0.8727221009146534,0.024838021510875948,0.2848835949742134,SYN0-03
25,12,0.7049067303873819,0.029814969010478996,0.2901176757737473,SYN0-03
25,20,0.3067591341533429,0.12251807458022008,0.30105686927387654,SYN0-03
50,1,1.1727850610375021,-0.10769087735695626,0.3549129012793709,SYN0-03
50,2,1.2089566271822507,-0.17046772180885852,0.3299440761423997,SYN0-03
50,3,1.259894315848894,-0.09232521420698482,0.35589495601262394,SYN0-03
50,5,1.2357608082938918,-0.12241234278362377,0.27380388339809053,SYN0-03
50,8,1.2293556465293773,-0.2270967969519313,0.2655072628048319,SYN0-03
50,12,1.1444927184050615,-0.23229223964004875,0.25899247518905594,SYN0-03
50,20,0.9131263324297153,0.08227099130546717,0.2427695944622887,SYN0-03
100,1,1.3247470326671726,-0.13856153845432786,0.3373742928343548,SYN0-03
100,2,1.4854140907432158,-0.08929476350445904,0.34652879061019576,SYN0-03
100,3,1.4880520634168568,-0.08037235611812134,0.3487577161604682,SYN0-03
100,5,1.4952399480323642,-0.039911004773751924,0.31763901430573094,SYN0-03
100,8,1.5155094453050197,-0.09534546528051437,0.25267753403227977,SYN0-03
100,12,1.5212680105090088,-0.3013235857552596,0.2484592730086201,SYN0-03
100,20,1.3650112566869907,-0.31927612229048113,0.2325695458484836,SYN0-03
200,1,1.5619455548799652,-0.029013864406108716,0.3238059503376663,SYN0-03
200,2,1.7439903933580223,-0.16489281660114102,0.34080251216464663,SYN0-03
200,3,1.8295848243491897,-0.20462969013204385,0.33586320749380905,SYN0-03
200,5,1.8284364527060546,-0.10960652888803508,0.2956335139544198,SYN0-03
200,8,1.8177971254501164,-0.10922766761144365,0.2840856163488234,SYN0-03
200,12,1.7365176784674328,-0.08020867882039577,0.23242826629273364,SYN0-03
200,20,1.7266999428309004,-0.2776044756787287,0.18653266048166503,SYN0-03
400,1,1.792717930772651,0.1760634666373094,0.23058696048341681,SYN0-03
400,2,2.10976172507141,0.030417526865294017,0.21085122609446824,SYN0-03
400,3,2.192789831974448,-0.3994058506042654,0.24888767127580186,SYN0-03
400,5,2.200784020587769,-0.24370367564482687,0.20355097037692033,SYN0-03
400,8,2.1935947999442003,-0.33280126784491043,0.17296634361234395,SYN0-03
400,12,2.1851917585780005,-0.11016748356365474,0.1618247614270586,SYN0-03
400,20,2.0077028822406096,-0.0727933996704976,0.16732808005364933,SYN0-03
25,1,0.9029009025881103,0.8732170694371376,0.17965488162394802,SYN0-04
25,2,1.0502604027822906,1.2041295546801385,0.22606120303768718,SYN0-04
25,3,1.1562556293063715,1.3543610473360832,0.24314094863541627,SYN0-04
25,5,1.199531139973582,1.694323792716188,0.27071298498834623,SYN0-04
25,8,1.1535722202572596,1.7857955584724643,0.30360278660014234,SYN0-04
25,12,0.9920802397099092,1.8122438315446527,0.3218039817144767,SYN0-04
25,20,0.5616041203178145,1.7821411631804311,0.3213775140989998,SYN0-04
50,1,1.0059026400185778,0.8191546022884688,0.15623384297671092,SYN0-04
50,2,1.1832290710887736,1.1835162275088609,0.21105712500867949,SYN0-04
50,3,1.2834769241924084,1.4084966849736071,0.23032329713580346,SYN0-04
50,5,1.3949172426424183,1.6960785366520712,0.246026566601022,SYN0-04
50,8,1.532590398895601,1.9309219014725576,0.2463854322713013,SYN0-04
50,12,1.5147261002120758,2.0219345735064205,0.2934228234937608,SYN0-04
50,20,1.3201019303051522,2.0806334298409257,0.28019595722048063,SYN0-04
100,1,1.1102064399761726,1.1290530240660563,0.13015558692091783,SYN0-04
100,2,1.3053292775278198,1.1719772467905156,0.18865756687711405,SYN0-04
100,3,1.397160936357478,1.3448529257948412,0.2104202763714632,SYN0-04
