run,arm,panel,setting,rule,sr_is,sr_oos,decay
OPTH-SYN0-09-s9001,OPT-hard,SYN0-09,SYN0,argmax,1.8208115967996634,-0.935990378340657,2.7568019751403203
OPTH-SYN0-09-s9002,OPT-hard,SYN0-09,SYN0,chosen,1.8670261536404622,0.8828848414007566,0.9841413122397056
OPTH-SYN0-09-s9002,OPT-hard,SYN0-09,SYN0,argmax,1.8670261536404622,0.8828848414007566,0.9841413122397056
OPTH-SYN0-10-s9000,OPT-hard,SYN0-10,SYN0,chosen,1.5436070697731428,-1.700898245117927,3.24450531489107
OPTH-SYN0-10-s9000,OPT-hard,SYN0-10,SYN0,argmax,1.5436070697731428,-1.700898245117927,3.24450531489107
OPTH-SYN0-10-s9001,OPT-hard,SYN0-10,SYN0,chosen,1.8623077899244933,0.3269178883197877,1.5353899016047057
OPTH-SYN0-10-s9001,OPT-hard,SYN0-10,SYN0,argmax,1.8623077899244933,0.3269178883197877,1.5353899016047057
OPTH-SYN0-10-s9002,OPT-hard,SYN0-10,SYN0,chosen,1.6230264133893757,0.6086190677224907,1.014407345666885
OPTH-SYN0-10-s9002,OPT-hard,SYN0-10,SYN0,argmax,1.6230264133893757,0.6086190677224907,1.014407345666885
OPTH-SYN0-11-s9000,OPT-hard,SYN0-11,SYN0,chosen,1.1324137033347088,-0.45322646768036456,1.5856401710150734
OPTH-SYN0-11-s9000,OPT-hard,SYN0-11,SYN0,argmax,1.1324137033347088,-0.45322646768036456,1.5856401710150734
OPTH-SYN0-11-s9001,OPT-hard,SYN0-11,SYN0,chosen,2.289223349500583,1.5933000903085965,0.6959232591919864
OPTH-SYN0-11-s9001,OPT-hard,SYN0-11,SYN0,argmax,2.289223349500583,1.5933000903085965,0.6959232591919864
OPTH-SYN0-11-s9002,OPT-hard,SYN0-11,SYN0,chosen,1.228984057794859,0.8903423555487978,0.33864170224606116
OPTH-SYN0-11-s9002,OPT-hard,SYN0-11,SYN0,argmax,1.228984057794859,0.8903423555487978,0.33864170224606116
OPTM-SYN0-00-s9000,OPT-medium,SYN0-00,SYN0,chosen,1.574859976778445,-1.3586224892287024,2.9334824660071472
OPTM-SYN0-00-s9000,OPT-medium,SYN0-00,SYN0,argmax,1.574859976778445,-1.3586224892287024,2.9334824660071472
